Date,Adj Close,Close,High,Low,Open,Volume
1993-01-29,24.113269805908203,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.28475570678711,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.33622169494629,44.34375,44.375,44.125,44.21875,201300
1993-02-03,24.59345054626465,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,24.696372985839844,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,24.679224014282227,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,24.679224014282227,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,24.507722854614258,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,24.542024612426758,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,24.66207504272461,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.473411560058594,44.59375,44.875,44.59375,44.875,42500
1993-02-16,23.856002807617188,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,23.838857650756836,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,23.821701049804688,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,23.907455444335938,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,23.99321174621582,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,23.976051330566406,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.28475570678711,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.33622169494629,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.370515823364258,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.301929473876953,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,24.66207504272461,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,24.764986038208008,45.125,45.15625,44.9375,45.0,280100
1993-03-04,24.627779006958008,44.875,45.1875,44.875,45.1875,89500
1993-03-05,24.55916404724121,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.107988357543945,45.75,45.75,44.84375,44.84375,50800
1993-03-09,25.02223014831543,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.07368278503418,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,25.005069732666016,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,24.747819900512695,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,24.867883682250977,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,24.867883682250977,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,24.71352195739746,45.03125,45.25,44.96875,45.25,21800
1993-03-18,24.867883682250977,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,24.83024024963379,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,24.6923885345459,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,24.74408721923828,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,24.74408721923828,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,24.899166107177734,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,24.761314392089844,44.90625,45.15625,44.875,45.125,101500
1993-03-29,24.86469841003418,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,24.933631896972656,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,24.91640281677246,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,24.83024024963379,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.31329917907715,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.43391227722168,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.36499786376953,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.45116424560547,44.34375,44.34375,44.15625,44.25,28000
1993-04-08,24.416702270507812,44.28125,44.53125,44.09375,44.53125,180800
1993-04-12,24.761314392089844,44.90625,44.9375,44.65625,44.71875,348500
1993-04-13,24.81301498413086,45.0,45.15625,44.84375,44.875,146100
1993-04-14,24.77855682373047,44.9375,45.0625,44.90625,45.03125,119600
1993-04-15,24.77855682373047,44.9375,45.03125,44.75,44.90625,148600
1993-04-16,24.77855682373047,44.9375,45.03125,44.875,44.96875,47900
1993-04-19,24.675151824951172,44.75,45.0625,44.71875,44.9375,157000
1993-04-20,24.554534912109375,44.53125,44.75,44.25,44.6875,279500
1993-04-21,24.53731346130371,44.5,44.625,44.375,44.625,67900
1993-04-22,24.227155685424805,43.9375,44.6875,43.9375,44.3125,97700
1993-04-23,24.12375831604004,43.75,43.96875,43.6875,43.84375,106000
1993-04-26,23.9342098236084,43.40625,43.9375,43.28125,43.78125,62600
1993-04-27,24.19268226623535,43.875,43.875,43.34375,43.34375,156800
